"","id","state","user_opened","employee_open","user_closed","employee_closed","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"27",435,"closed","maebert","volunter","arfon","volunter","584",37,"1897","0","1313","(365,Inf]","(365,Inf]",NA,"(365,Inf]"
"28",394,"closed","r2p2","volunter","arfon","volunter","602",15,"591","10","0","(365,Inf]","(365,Inf]","(1,30]",NA
"29",332,"closed","rofl0r","volunter","bkeepers","employee","667",10,"582","84","0","(365,Inf]","(365,Inf]","(30,180]",NA
"30",315,"closed","alamaison","volunter","bkeepers","employee","687",8,"646","109","69","(365,Inf]","(365,Inf]","(30,180]","(30,180]"
"31",302,"closed","martinjthompson","volunter","arfon","volunter","699",2,"563","97","38","(365,Inf]","(365,Inf]","(30,180]","(30,180]"
"32",297,"closed","tristan2468","volunter","arfon","volunter","516",2,"0","516","0","(365,Inf]",NA,"(365,Inf]",NA
"33",281,"closed","svnpenn","volunter","tnm","volunter","423",2,"372","50","0","(365,Inf]","(365,Inf]","(30,180]",NA
"34",241,"closed","mroth","volunter","tnm","volunter","434",2,"168","0","266","(365,Inf]","(30,180]",NA,"(180,365]"
"35",224,"closed","ghost","volunter","tnm","volunter","446",3,"300","146","0","(365,Inf]","(180,365]","(30,180]",NA
"36",3261,"closed","nathany","volunter","lildude","employee","473",1,"0","473","0","(365,Inf]",NA,"(365,Inf]",NA
"37",3209,"closed","pchaigno","volunter","vmg","employee","502",11,"504","0","1","(365,Inf]","(365,Inf]",NA,"(0,1]"
"38",3181,"closed","mirabilos","volunter","lildude","employee","426",11,"426","0","0","(365,Inf]","(365,Inf]",NA,NA
"39",3139,"closed","asarazan","volunter","lildude","employee","455",6,"455","0","0","(365,Inf]","(365,Inf]",NA,NA
"40",3133,"closed","StoneCypher","volunter","lildude","employee","494",17,"468","27","1","(365,Inf]","(365,Inf]","(1,30]","(0,1]"
"41",3131,"closed","cezarykluczynski","volunter","lildude","employee","503",1,"0","503","0","(365,Inf]",NA,"(365,Inf]",NA
"42",3114,"closed","siddharthist","volunter","lildude","employee","514",8,"513","0","0","(365,Inf]","(365,Inf]",NA,NA
"43",3002,"closed","Zimmi48","volunter","lildude","employee","576",1,"0","576","0","(365,Inf]",NA,"(365,Inf]",NA
"44",2924,"closed","Alhadis","volunter","lildude","employee","619",5,"619","0","0","(365,Inf]","(365,Inf]",NA,NA
"45",2751,"closed","c-lipka","volunter","brandonblack","volunter","372",3,"365","4","2","(365,Inf]","(180,365]","(1,30]","(1,30]"
"46",2730,"closed","eush77","volunter","pchaigno","volunter","381",3,"380","0","0","(365,Inf]","(365,Inf]",NA,NA
"47",2724,"closed","cespare","volunter","lildude","employee","756",8,"750","6","0","(365,Inf]","(365,Inf]","(1,30]",NA
"48",2627,"closed","jeaye","volunter","lildude","employee","888",29,"888","0","0","(365,Inf]","(365,Inf]",NA,NA
"49",2598,"closed","fyngyrz","volunter","lildude","employee","903",43,"688","215","0","(365,Inf]","(365,Inf]","(180,365]",NA
"50",2452,"closed","dagrooms52","volunter","pchaigno","volunter","380",4,"380","0","0","(365,Inf]","(365,Inf]",NA,NA
"51",2444,"closed","graymalkin","volunter","lildude","employee","961",2,"319","642","0","(365,Inf]","(180,365]","(365,Inf]",NA
"52",2433,"closed","swang","volunter","swang","volunter","470",4,"6","0","463","(365,Inf]","(1,30]",NA,"(365,Inf]"
"53",2382,"closed","larsbrinkhoff","volunter","pchaigno","volunter","580",16,"572","8","0","(365,Inf]","(365,Inf]","(1,30]",NA
"54",2376,"closed","deepsweet","volunter","arfon","volunter","370",27,"370","0","0","(365,Inf]","(365,Inf]",NA,NA
"55",2331,"closed","arfon","volunter","lildude","employee","982",5,"633","0","349","(365,Inf]","(365,Inf]",NA,"(180,365]"
"56",2206,"closed","dougnukem","volunter","lildude","employee","963",51,"963","0","0","(365,Inf]","(365,Inf]",NA,NA
"57",2197,"closed","tbodt","volunter","pchaigno","volunter","482",10,"566","0","84","(365,Inf]","(365,Inf]",NA,"(30,180]"
"58",2195,"closed","bkeepers","employee","arfon","volunter","369",9,"369","0","0","(365,Inf]","(365,Inf]",NA,NA
"59",2169,"closed","pchaigno","volunter","pchaigno","volunter","647",5,"648","2","2","(365,Inf]","(365,Inf]","(1,30]","(1,30]"
"60",2138,"closed","larsbrinkhoff","volunter","arfon","volunter","381",13,"381","0","0","(365,Inf]","(365,Inf]",NA,NA
"61",2137,"closed","Zachary-Holland","volunter","arfon","volunter","381",3,"381","0","0","(365,Inf]","(365,Inf]",NA,NA
"62",2104,"closed","dcecile","volunter","pchaigno","volunter","503",2,"0","503","0","(365,Inf]",NA,"(365,Inf]",NA
"63",2040,"closed","jasonm23","volunter","pchaigno","volunter","519",5,"519","0","0","(365,Inf]","(365,Inf]",NA,NA
"64",1939,"closed","msabramo","volunter","pchaigno","volunter","702",26,"702","0","0","(365,Inf]","(365,Inf]",NA,NA
"65",1792,"closed","arfon","volunter","brandonblack","volunter","837",25,"783","58","4","(365,Inf]","(365,Inf]","(30,180]","(1,30]"
"66",1761,"closed","titanous","volunter","arfon","volunter","469",13,"469","0","0","(365,Inf]","(365,Inf]",NA,NA
"67",1569,"closed","roman-neuhauser","volunter","arfon","volunter","523",7,"738","0","215","(365,Inf]","(365,Inf]",NA,"(180,365]"
"68",1568,"closed","roman-neuhauser","volunter","pchaigno","volunter","649",7,"738","0","89","(365,Inf]","(365,Inf]",NA,"(30,180]"
