"","id","state","user","employee_open","user_closed","employee_merged","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"33",722,"closed","alan-andrade","volunter","null","volunter","393",0,"null","null","null","(365,Inf]",NA,NA,NA
"34",726,"closed","enykeev","volunter","null","volunter","1057",0,"null","null","null","(365,Inf]",NA,NA,NA
"35",744,"closed","tristanguo","volunter","null","volunter","1009",5,"5","25","978","(365,Inf]","(1,30]","(1,30]","(365,Inf]"
"36",752,"closed","conradkdotcom","volunter","null","volunter","1072",0,"null","null","null","(365,Inf]",NA,NA,NA
"37",772,"closed","therealklanni","volunter","null","volunter","966",0,"null","null","null","(365,Inf]",NA,NA,NA
"38",773,"closed","Mumakil","volunter","null","volunter","1067",1,"0","36","1031","(365,Inf]",NA,"(30,180]","(365,Inf]"
"39",775,"closed","therealklanni","volunter","null","volunter","971",0,"null","null","null","(365,Inf]",NA,NA,NA
"40",868,"closed","michaelansel","volunter","null","volunter","907",2,"0","113","793","(365,Inf]",NA,"(30,180]","(365,Inf]"
"41",871,"closed","michaelansel","volunter","null","volunter","907",3,"106","0","800","(365,Inf]","(30,180]",NA,"(365,Inf]"
"42",900,"closed","Taytay","volunter","null","volunter","794",0,"null","null","null","(365,Inf]",NA,NA,NA
"43",917,"closed","cycomachead","volunter","null","volunter","775",0,"null","null","null","(365,Inf]",NA,NA,NA
"44",921,"closed","shokai","volunter","null","volunter","849",0,"null","null","null","(365,Inf]",NA,NA,NA
"45",949,"closed","fcsonline","volunter","null","volunter","801",10,"5","4","791","(365,Inf]","(1,30]","(1,30]","(365,Inf]"
"46",978,"closed","jasonkarns","volunter","bkeepers","employee","712",2,"0","709","3","(365,Inf]",NA,"(365,Inf]","(1,30]"
"47",996,"closed","lukefx","volunter","null","volunter","775",0,"null","null","null","(365,Inf]",NA,NA,NA
