"","id","state","user","employee_open","user_closed","employee_merged","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"17",3142,"closed","benogle","volunter","null","volunter","371",15,"0","0","370","(365,Inf]",NA,NA,"(365,Inf]"
"18",3327,"closed","Zren","volunter","null","volunter","772",0,"null","null","null","(365,Inf]",NA,NA,NA
"19",4098,"closed","eddieantonio","volunter","null","volunter","691",3,"0","0","691","(365,Inf]",NA,NA,"(365,Inf]"
"20",4602,"closed","ardeshirj","volunter","null","volunter","655",0,"null","null","null","(365,Inf]",NA,NA,NA
"21",4898,"closed","hakatashi","volunter","null","volunter","418",0,"null","null","null","(365,Inf]",NA,NA,NA
"22",5445,"closed","h0dgep0dge","volunter","null","volunter","600",1,"0","7","593","(365,Inf]",NA,"(1,30]","(365,Inf]"
"23",6075,"closed","mathiasvr","volunter","null","volunter","897",1,"0","1","895","(365,Inf]",NA,"(0,1]","(365,Inf]"
"24",6419,"closed","jessegrosjean","volunter","null","volunter","873",0,"null","null","null","(365,Inf]",NA,NA,NA
"25",6648,"closed","mnquintana","volunter","null","volunter","513",0,"null","null","null","(365,Inf]",NA,NA,NA
"26",6673,"closed","mnquintana","volunter","null","volunter","610",1,"0","0","609","(365,Inf]",NA,NA,"(365,Inf]"
"27",6688,"closed","dantaex","volunter","null","volunter","852",1,"0","10","842","(365,Inf]",NA,"(1,30]","(365,Inf]"
"28",6778,"closed","andrewrothman","volunter","null","volunter","504",0,"null","null","null","(365,Inf]",NA,NA,NA
"29",7698,"closed","mnquintana","volunter","null","volunter","557",5,"1","0","555","(365,Inf]","(0,1]",NA,"(365,Inf]"
"30",7905,"closed","jimmydo","volunter","null","volunter","540",0,"null","null","null","(365,Inf]",NA,NA,NA
"31",7999,"closed","joefitzgerald","volunter","null","volunter","407",1,"0","10","396","(365,Inf]",NA,"(1,30]","(365,Inf]"
"32",8243,"closed","bolinfest","volunter","null","volunter","791",2,"0","0","791","(365,Inf]",NA,NA,"(365,Inf]"
"33",8296,"closed","fusion809","volunter","null","volunter","416",2,"0","169","246","(365,Inf]",NA,"(30,180]","(180,365]"
"34",8403,"closed","dsandstrom","volunter","null","volunter","512",1,"0","3","509","(365,Inf]",NA,"(1,30]","(365,Inf]"
"35",8513,"closed","jeremyramin","volunter","null","volunter","771",0,"null","null","null","(365,Inf]",NA,NA,NA
"36",8578,"closed","jacekkopecky","volunter","null","volunter","767",4,"0","0","767","(365,Inf]",NA,NA,"(365,Inf]"
"37",8615,"closed","n-riesco","volunter","null","volunter","497",0,"null","null","null","(365,Inf]",NA,NA,NA
"38",8690,"closed","kaitoy","volunter","null","volunter","389",0,"null","null","null","(365,Inf]",NA,NA,NA
"39",8906,"closed","izuzak","employee","null","volunter","743",3,"0","1","740","(365,Inf]",NA,"(0,1]","(365,Inf]"
"40",8929,"closed","darwin","volunter","null","volunter","741",1,"0","28","713","(365,Inf]",NA,"(1,30]","(365,Inf]"
"41",9026,"closed","EasyHard","volunter","null","volunter","734",0,"null","null","null","(365,Inf]",NA,NA,NA
"42",9070,"closed","billybonks","volunter","null","volunter","523",15,"34","0","489","(365,Inf]","(30,180]",NA,"(365,Inf]"
"43",9195,"closed","bolinfest","volunter","null","volunter","418",0,"null","null","null","(365,Inf]",NA,NA,NA
"44",9443,"closed","raelyard","volunter","null","volunter","432",6,"0","0","431","(365,Inf]",NA,NA,"(365,Inf]"
"45",9689,"closed","philschatz","volunter","null","volunter","686",0,"null","null","null","(365,Inf]",NA,NA,NA
"46",9723,"closed","DouweM","volunter","null","volunter","684",0,"null","null","null","(365,Inf]",NA,NA,NA
